"","fixed.acidity","volatile.acidity","citric.acid","residual.sugar","chlorides","free.sulfur.dioxide","total.sulfur.dioxide","density","pH","sulphates","alcohol","quality","log.volatile.acidity","log.chlorides","nonfree.sulfur.dioxide","log.density","log.pH","log.sulphates","log.alcohol","quality.binary "
"80",8.3,0.625,0.2,1.5,0.08,27,119,0.9972,3.16,1.12,9.1,4,-0.470003629245736,-2.52572864430826,92,-0.00280392733273426,1.15057202759882,0.113328685307003,2.2082744135228,0
"81",6.2,0.45,0.2,1.6,0.069,3,15,0.9958,3.41,0.56,9.2,5,-0.798507696217772,-2.67364877438488,12,-0.00420884477405468,1.22671229129543,-0.579818495252942,2.21920348405499,0
"82",7.8,0.43,0.7,1.9,0.464,22,67,0.9974,3.13,1.28,9.4,5,-0.843970070294529,-0.767870726755882,45,-0.00260338587011493,1.14103300455206,0.246860077931526,2.24070968927596,0
"83",7.4,0.5,0.47,2,0.086,21,73,0.997,3.36,0.57,9.1,5,-0.693147180559945,-2.45340798272863,52,-0.00300450902029872,1.21194097397511,-0.562118918153541,2.2082744135228,0
"84",7.3,0.67,0.26,1.8,0.401,16,51,0.9969,3.16,1.14,9.4,5,-0.400477566597125,-0.913793851675568,35,-0.00310481495347876,1.15057202759882,0.131028262406404,2.24070968927596,0
"85",6.3,0.3,0.48,1.8,0.069,18,61,0.9959,3.44,0.78,10.3,6,-1.20397280432594,-2.67364877438488,43,-0.00410842804454319,1.23547147138531,-0.2484613592985,2.33214389523559,0
"86",6.9,0.55,0.15,2.2,0.076,19,40,0.9961,3.41,0.59,10.1,5,-0.59783700075562,-2.57702193869581,21,-0.00390762483101708,1.22671229129543,-0.527632742082372,2.31253542384721,0
"87",8.6,0.49,0.28,1.9,0.11,20,136,0.9972,2.93,1.95,9.9,6,-0.713349887877465,-2.20727491318972,116,-0.00280392733273426,1.07500242302898,0.667829372575655,2.29253475714054,0
"88",7.7,0.49,0.26,1.9,0.062,9,31,0.9966,3.39,0.64,9.6,5,-0.713349887877465,-2.78062089393705,22,-0.00340579313483282,1.22082992139236,-0.446287102628419,2.26176309847379,0
"89",9.3,0.39,0.44,2.1,0.107,34,125,0.9978,3.14,1.22,9.5,5,-0.941608539858445,-2.23492644452023,91,-0.00220242355520004,1.14422279992016,0.198850858745165,2.2512917986065,0
"90",7,0.62,0.08,1.8,0.076,8,24,0.9978,3.48,0.53,9,5,-0.478035800943,-2.57702193869581,16,-0.00220242355520004,1.24703229378638,-0.63487827243597,2.19722457733622,0
"91",7.9,0.52,0.26,1.9,0.079,42,140,0.9964,3.23,0.54,9.5,5,-0.653926467406664,-2.53830742651512,98,-0.00360649559411174,1.17248213723457,-0.616186139423817,2.2512917986065,0
"92",8.6,0.49,0.28,1.9,0.11,20,136,0.9972,2.93,1.95,9.9,6,-0.713349887877465,-2.20727491318972,116,-0.00280392733273426,1.07500242302898,0.667829372575655,2.29253475714054,0
"93",8.6,0.49,0.29,2,0.11,19,133,0.9972,2.93,1.98,9.8,5,-0.713349887877465,-2.20727491318972,114,-0.00280392733273426,1.07500242302898,0.683096844706444,2.28238238567653,0
"94",7.7,0.49,0.26,1.9,0.062,9,31,0.9966,3.39,0.64,9.6,5,-0.713349887877465,-2.78062089393705,22,-0.00340579313483282,1.22082992139236,-0.446287102628419,2.26176309847379,0
"95",5,1.02,0.04,1.4,0.045,41,85,0.9938,3.75,0.48,10.5,4,0.0198026272961797,-3.10109278921182,44,-0.00621929981391683,1.32175583998232,-0.7339691750802,2.35137525716348,0
"96",4.7,0.6,0.17,2.3,0.058,17,106,0.9932,3.85,0.6,12.9,6,-0.510825623765991,-2.84731226843572,89,-0.00682322534812554,1.34807314829969,-0.510825623765991,2.55722731136763,0
"97",6.8,0.775,0,3,0.102,8,23,0.9965,3.45,0.56,10.7,5,-0.25489224962879,-2.28278246569787,15,-0.00350613932928759,1.23837423104327,-0.579818495252942,2.37024374146786,0
"98",7,0.5,0.25,2,0.07,3,22,0.9963,3.25,0.63,9.2,5,-0.693147180559945,-2.65926003693278,19,-0.00370686193132651,1.17865499634165,-0.462035459596559,2.21920348405499,0
"99",7.6,0.9,0.06,2.5,0.079,5,10,0.9967,3.39,0.56,9.8,5,-0.105360515657826,-2.53830742651512,5,-0.00330545700872648,1.22082992139236,-0.579818495252942,2.28238238567653,0
"100",8.1,0.545,0.18,1.9,0.08,13,35,0.9972,3.3,0.59,9,6,-0.606969484318893,-2.52572864430826,22,-0.00280392733273426,1.19392246847243,-0.527632742082372,2.19722457733622,0
"101",8.3,0.61,0.3,2.1,0.084,11,50,0.9972,3.4,0.61,10.2,6,-0.49429632181478,-2.47693848013882,39,-0.00280392733273426,1.22377543162212,-0.49429632181478,2.32238772029023,0
"102",7.8,0.5,0.3,1.9,0.075,8,22,0.9959,3.31,0.56,10.4,6,-0.693147180559945,-2.59026716544583,14,-0.00410842804454319,1.19694818938897,-0.579818495252942,2.34180580614733,0
"103",8.1,0.545,0.18,1.9,0.08,13,35,0.9972,3.3,0.59,9,6,-0.606969484318893,-2.52572864430826,22,-0.00280392733273426,1.19392246847243,-0.527632742082372,2.19722457733622,0
"104",8.1,0.575,0.22,2.1,0.077,12,65,0.9967,3.29,0.51,9.2,5,-0.553385238184787,-2.56394985712845,53,-0.00330545700872648,1.19088756477728,-0.673344553263766,2.21920348405499,0
"105",7.2,0.49,0.24,2.2,0.07,5,36,0.996,3.33,0.48,9.4,5,-0.713349887877465,-2.65926003693278,31,-0.00400802139753882,1.20297230399235,-0.7339691750802,2.24070968927596,0
"106",8.1,0.575,0.22,2.1,0.077,12,65,0.9967,3.29,0.51,9.2,5,-0.553385238184787,-2.56394985712845,53,-0.00330545700872648,1.19088756477728,-0.673344553263766,2.21920348405499,0
"107",7.8,0.41,0.68,1.7,0.467,18,69,0.9973,3.08,1.31,9.3,5,-0.891598119283784,-0.76142602131324,51,-0.00270365157431482,1.12492959698548,0.27002713721306,2.23001440015921,0
"108",6.2,0.63,0.31,1.7,0.088,15,64,0.9969,3.46,0.79,9.3,5,-0.462035459596559,-2.43041846450393,49,-0.00310481495347876,1.24126858906963,-0.23572233352107,2.23001440015921,0
"109",8,0.33,0.53,2.5,0.091,18,80,0.9976,3.37,0.8,9.6,6,-1.10866262452161,-2.39689577246529,62,-0.00240288461631031,1.21491274436427,-0.22314355131421,2.26176309847379,0
"110",8.1,0.785,0.52,2,0.122,37,153,0.9969,3.21,0.69,9.3,5,-0.242071561199729,-2.10373423424888,116,-0.00310481495347876,1.16627093714192,-0.371063681390832,2.23001440015921,0
"111",7.8,0.56,0.19,1.8,0.104,12,47,0.9964,3.19,0.93,9.5,5,-0.579818495252942,-2.26336437984076,35,-0.00360649559411174,1.16002091679675,-0.0725706928348354,2.2512917986065,0
"112",8.4,0.62,0.09,2.2,0.084,11,108,0.9964,3.15,0.66,9.8,5,-0.478035800943,-2.47693848013882,97,-0.00360649559411174,1.14740245283754,-0.415515443961666,2.28238238567653,0
"113",8.4,0.6,0.1,2.2,0.085,14,111,0.9964,3.15,0.66,9.8,5,-0.510825623765991,-2.46510402249182,97,-0.00360649559411174,1.14740245283754,-0.415515443961666,2.28238238567653,0
"114",10.1,0.31,0.44,2.3,0.08,22,46,0.9988,3.32,0.67,9.7,6,-1.17118298150295,-2.52572864430826,24,-0.00120072057651888,1.1999647829284,-0.400477566597125,2.27212588550934,0
"115",7.8,0.56,0.19,1.8,0.104,12,47,0.9964,3.19,0.93,9.5,5,-0.579818495252942,-2.26336437984076,35,-0.00360649559411174,1.16002091679675,-0.0725706928348354,2.2512917986065,0
"116",9.4,0.4,0.31,2.2,0.09,13,62,0.9966,3.07,0.63,10.5,6,-0.916290731874155,-2.40794560865187,49,-0.00340579313483282,1.12167756159911,-0.462035459596559,2.35137525716348,0
"117",8.3,0.54,0.28,1.9,0.077,11,40,0.9978,3.39,0.61,10,6,-0.616186139423817,-2.56394985712845,29,-0.00220242355520004,1.22082992139236,-0.49429632181478,2.30258509299405,0
"118",7.8,0.56,0.12,2,0.082,7,28,0.997,3.37,0.5,9.4,6,-0.579818495252942,-2.50103603171788,21,-0.00300450902029872,1.21491274436427,-0.693147180559945,2.24070968927596,0
"119",8.8,0.55,0.04,2.2,0.119,14,56,0.9962,3.21,0.6,10.9,6,-0.59783700075562,-2.12863178587061,42,-0.00380723834295407,1.16627093714192,-0.510825623765991,2.3887627892351,0
"120",7,0.69,0.08,1.8,0.097,22,89,0.9959,3.34,0.54,9.2,6,-0.371063681390832,-2.33304430047875,67,-0.00410842804454319,1.20597080698861,-0.616186139423817,2.21920348405499,0
"121",7.3,1.07,0.09,1.7,0.178,10,89,0.9962,3.3,0.57,9,5,0.0676586484738149,-1.72597172869005,79,-0.00380723834295407,1.19392246847243,-0.562118918153541,2.19722457733622,0
"122",8.8,0.55,0.04,2.2,0.119,14,56,0.9962,3.21,0.6,10.9,6,-0.59783700075562,-2.12863178587061,42,-0.00380723834295407,1.16627093714192,-0.510825623765991,2.3887627892351,0
"123",7.3,0.695,0,2.5,0.075,3,13,0.998,3.49,0.52,9.2,5,-0.363843433417345,-2.59026716544583,10,-0.00200200267067308,1.24990173621434,-0.653926467406664,2.21920348405499,0
"124",8,0.71,0,2.6,0.08,11,34,0.9976,3.44,0.53,9.5,5,-0.342490308946776,-2.52572864430826,23,-0.00240288461631031,1.23547147138531,-0.63487827243597,2.2512917986065,0
"125",7.8,0.5,0.17,1.6,0.082,21,102,0.996,3.39,0.48,9.5,5,-0.693147180559945,-2.50103603171788,81,-0.00400802139753882,1.22082992139236,-0.7339691750802,2.2512917986065,0
"126",9,0.62,0.04,1.9,0.146,27,90,0.9984,3.16,0.7,9.4,5,-0.478035800943,-1.9241486572738,63,-0.00160128136697388,1.15057202759882,-0.356674943938732,2.24070968927596,0
"127",8.2,1.33,0,1.7,0.081,3,12,0.9964,3.53,0.49,10.9,5,0.285178942233662,-2.5133061243097,9,-0.00360649559411174,1.26129787094521,-0.713349887877465,2.3887627892351,0
"128",8.1,1.33,0,1.8,0.082,3,12,0.9964,3.54,0.48,10.9,5,0.285178942233662,-2.50103603171788,9,-0.00360649559411174,1.26412672714568,-0.7339691750802,2.3887627892351,0
"129",8,0.59,0.16,1.8,0.065,3,16,0.9962,3.42,0.92,10.5,7,-0.527632742082372,-2.7333680090865,13,-0.00380723834295407,1.22964055107451,-0.083381608939051,2.35137525716348,1
"130",6.1,0.38,0.15,1.8,0.072,6,19,0.9955,3.42,0.57,9.4,5,-0.967584026261706,-2.63108915996608,13,-0.00451015547788602,1.22964055107451,-0.562118918153541,2.24070968927596,0
"131",8,0.745,0.56,2,0.118,30,134,0.9968,3.24,0.66,9.4,5,-0.294371060602578,-2.13707065451647,104,-0.00320513094894834,1.17557332980424,-0.415515443961666,2.24070968927596,0
"132",5.6,0.5,0.09,2.3,0.049,17,99,0.9937,3.63,0.63,13,5,-0.693147180559945,-3.01593498087151,82,-0.00631992874481935,1.28923264827676,-0.462035459596559,2.56494935746154,0
"133",5.6,0.5,0.09,2.3,0.049,17,99,0.9937,3.63,0.63,13,5,-0.693147180559945,-3.01593498087151,82,-0.00631992874481935,1.28923264827676,-0.462035459596559,2.56494935746154,0
"134",6.6,0.5,0.01,1.5,0.06,17,26,0.9952,3.4,0.58,9.8,6,-0.693147180559945,-2.81341071676004,9,-0.00481155699722208,1.22377543162212,-0.544727175441672,2.28238238567653,0
